speaker,THOUGHT_F1,THOUGHT_F2,FLEECE_F1,FLEECE_F2,KIT_F1,KIT_F2,DRESS_F1,DRESS_F2,GOOSE_F1,GOOSE_F2,TRAP_F1,TRAP_F2,START_F1,START_F2,STRUT_F1,STRUT_F2,NURSE_F1,NURSE_F2,LOT_F1,LOT_F2
CC_f_234,-0.279606113,-0.026560154,0.145099921,-0.061323325,-0.07116187,0.200479713,-0.461166409,0.0882996,0.116775445,0.087890768,-0.130955621,0.038674913,-0.007535695,-0.148445071,0.040290065,-0.015777178,0.280412316,-0.054145796,0.145271554,0.184100602
CC_f_235,-0.407218262,-0.241041499,0.01232695,0.08159588,-0.10834354,0.159960923,0.375348541,-0.095013485,-0.119829571,0.100801593,0.565195842,-0.349487339,-0.07289587,0.366567481,-0.03576268,0.243666351,0.056483876,-0.065077024,-0.253778144,-0.010184297
CC_f_236,0.023226587,0.076633077,-0.171774585,0.21754439,-0.121604696,0.099150968,0.281174815,0.031108656,0.009034618,-0.17350869,0.041004322,0.026290751,-0.096568893,-0.044974884,0.093124757,0.018745732,0.027411065,-0.163209716,0.010805912,0.108624359
CC_f_237,0.238576787,0.301605828,-0.068931966,0.086019547,0.032408144,-0.01774536,-0.150465687,0.183314627,0.047579906,-0.14796386,0.017609794,0.142407378,-0.198484805,-0.1607027,0.156716512,-0.364239718,-0.183106502,-0.228178409,0.178645943,-0.032014218
CC_f_238,-0.081946982,-0.234354295,-0.068311587,0.094880784,0.378751387,0.008797226,0.07254009,0.06561612,0.023321793,0.060093024,-0.066224963,-0.273895097,-0.082490445,-0.047696628,0.112307204,0.067440366,-0.177453761,0.190162579,-0.086628983,0.127481651
CC_f_243,-0.358253489,-0.252238507,0.081071025,-0.150992237,0.188582084,0.180351207,0.010148657,-0.179242369,-0.111937985,0.190658582,0.35874704,0.044275159,-0.227836389,0.198909618,0.140373984,-0.027232997,0.090175119,-0.274800742,0.244587181,0.332970044
CC_f_245,-0.075241787,-0.141814164,0.042094332,0.055776862,0.046959148,0.075534401,0.14665723,-0.133829089,0.045986938,0.103593462,-0.171302184,0.1252282,-0.010361629,-0.035041077,0.097775579,0.03959916,-0.031731811,-0.183310051,0.036324994,-0.132273919
CC_f_250,-0.106353954,-0.132483401,-0.1492129,0.039785596,-0.006288284,0.086835363,0.015571392,0.132844577,0.026233028,0.021547246,0.09195091,-0.115136834,-0.086302668,0.003082725,0.14589555,0.056267109,-0.051386521,0.025627025,0.151689889,0.243996012
CC_f_253,-0.160777021,-0.277914215,-0.101953905,0.073009917,0.064105019,0.050279827,0.023700712,0.186075636,-0.098587618,0.117238739,0.044373818,-0.124747013,-0.09267172,0.054760516,0.072139974,0.166093451,0.081558053,-0.05694312,0.203329578,-0.02873847
CC_f_258,0.074011131,-0.149194484,0.069531383,-0.191318616,0.235598056,0.034744801,0.078189508,-0.190044632,-0.061918509,0.036341467,0.040606552,0.188999011,0.103844992,-0.083967366,-0.09413619,0.036789762,0.124466045,0.114568287,-0.449475491,-0.034598357
CC_f_265,-0.186956605,-0.037816541,0.040466357,0.009961403,-0.133410199,0.176219978,0.025624491,0.070410798,0.149253131,-0.213672296,0.003880917,0.05239324,0.08527774,0.030949943,-0.021846977,0.043677288,0.063249271,-0.033275379,-0.208411063,0.020088252
CC_f_269,0.097730382,0.139897738,0.035320151,-0.134594639,0.016443293,-0.119113132,-0.098140233,-0.061491324,0.015725709,-0.082009821,-0.023099524,0.437754374,-0.020654487,0.146666996,-0.007223411,-0.221210176,0.006730645,0.063501201,0.225569552,-0.209915832
CC_f_270,0.140561829,0.402845987,0.010472862,4.63E-07,-0.081854762,-0.017817561,-0.010147324,0.076090361,-0.050936433,0.109140017,-0.02599736,-0.110463168,-0.069279085,-0.036456308,0.194148082,-0.192908178,-0.053812337,0.041288184,0.011884397,-0.23688029
CC_f_279,-0.131288118,-0.074655832,-0.053767565,0.03527096,0.053333376,-0.058449048,0.019793585,0.054580359,0.024113396,-0.101283359,0.128922887,-0.084856522,-0.008296914,0.056478861,-0.019923006,0.144256863,-0.044498767,-0.043438442,-0.087154984,0.062365471
CC_f_280,-0.220621283,-0.028826473,0.087606567,0.192220476,-0.136319631,-0.04284761,0.140661387,0.033162219,0.01717965,-0.131996947,0.135090964,-0.134212275,0.024277612,0.076385289,-0.012065724,0.001652668,0.081769891,-0.001484938,-0.200128222,0.29101897
CC_f_282,0.054327426,0.532009603,-0.022499192,0.249933715,0.173452424,-0.293487488,-0.040432081,0.123615767,0.023908403,-0.091042904,-0.408482832,0.05450442,-0.083080121,-0.153518623,0.082967643,-0.083243779,-0.044656176,-0.249961045,0.282623131,-0.063252415
CC_f_285,-0.176955746,-0.15305959,0.087231465,0.182595929,-0.252432701,0.153895995,0.328495757,-0.039174023,0.014082114,-0.300429994,0.292681793,0.016485197,0.049559579,0.162723131,0.005219653,0.289335536,-0.143999006,-0.103760015,0.098455339,0.034157453
CC_f_287,-0.281853989,-0.159700909,-0.062021087,0.000815732,0.18514834,0.080864319,-0.022259845,-0.170513984,-0.065773708,0.050912665,0.189434711,-0.077800677,-0.011904933,0.218376485,-0.026850504,0.215196723,0.095466454,0.106307466,0.023400291,0.177314453
