Idnumber,F1,F2,F2-F1,sylldur,o-dur,i-dur,s-dur,s:i-ratio,s-levelDiff,s-ampDiff,s-freqH,s-freqM,s-freqMH,s-var
312,-0.266658127,-0.064041229,0.041597642,-0.255424493,0.630473667,-0.838572676,-0.494661238,0.330945439,1.762948456,2.062148907,-0.608926051,-0.8470474,-0.82543185,-0.663955316
313,0.381539462,-0.091903187,-0.229753751,0.371526535,-0.929170646,0.481094812,1.082395397,0.028743652,0.165029351,-0.878772917,-0.752583592,0.33842698,0.21023709,-0.018793547
314,0.995621389,-0.087259528,-0.458033494,0.580510211,-0.149348489,-0.178738932,1.082395397,0.708697673,0.472036747,-1.38951833,-0.369496815,-0.627515107,-0.633641306,0.556484772
315,0.972877614,1.031862489,0.588607593,-1.091359196,-0.539259568,-0.838572676,-0.810072565,0.028743652,0.887660356,0.541532103,-0.593369668,0.347909501,0.218521327,-1.325732093
316,-0.30077379,0.548921867,0.623064913,1.416444914,0.630473667,-0.838572676,2.028629378,2.748559738,-1.028948754,-0.55385744,0.749867454,-0.179924222,-0.242611365,0.468325881
317,-0.789764954,-1.187806905,-0.802606691,0.371526535,-0.539259568,1.8007623,0.136161416,-1.136891814,-0.507025013,0.288076349,0.013589963,-0.715328024,-0.710357523,-0.614599315
318,0.313308137,-0.324086178,-0.419269009,-0.464408169,-0.929170646,0.481094812,-0.179249911,-0.696540638,-0.249432803,-0.393061042,-0.369496815,-0.715328024,-0.710357523,0.34387278
319,-0.289401902,0.075268566,0.179426921,0.162542859,0.240562589,-0.838572676,0.451572743,1.237550801,2.438789367,2.0576863,-0.785260686,2.283299818,1.909341197,-0.908186966
320,-0.243914352,0.367819135,0.433549654,0.580510211,0.240562589,0.481094812,0.451572743,-0.333898493,1.815631443,2.196207691,-0.785260686,2.459244392,2.063052095,0.170219656
321,2.269272793,0.47926697,-0.414961844,-0.046440817,-0.539259568,-0.838572676,0.76698407,1.539752589,0.323994717,-0.744581544,0.636105976,1.172649693,0.939041158,0.431640439
322,0.017639061,1.491584811,1.376818782,-1.509326548,-0.539259568,-0.838572676,-1.440895219,-0.575659923,2.048031305,-0.409426731,-0.752583592,0.689678649,0.517101961,-1.572855793
323,-1.426590656,-0.170845404,0.381863674,-0.046440817,-0.149348489,-0.838572676,0.451572743,1.237550801,-0.520134151,2.54730941,0.653921945,-0.487827227,-0.511605435,0.044822533
324,0.836414964,0.353888155,0.011447487,-0.046440817,-0.929170646,-0.178738932,0.76698407,0.482046333,1.297825394,0.516568184,0.157247504,0.294520522,0.171878981,-0.742003614
325,-0.357633228,0.112417845,0.239727231,0.162542859,-0.929170646,-0.838572676,1.397806724,2.144156163,-2.309380419,-0.779526715,1.450165379,0.514052815,0.363669525,2.801788069
