speaker_interval,amp_int,DRESS_F1_50,DRESS_F2_50,FLEECE_F1_50,FLEECE_F2_50,GOOSE_F1_50,GOOSE_F2_50,KIT_F1_50,KIT_F2_50,LOT_F1_50,LOT_F2_50,NURSE_F1_50,NURSE_F2_50,START_F1_50,START_F2_50,STRUT_F1_50,STRUT_F2_50,THOUGHT_F1_50,THOUGHT_F2_50,TRAP_F1_50,TRAP_F2_50
QB_NZ_F_107_240,0.102435622,-0.438624182,0.418612746,0.061789901,0.635536038,0,0,-0.330940739,-0.662122454,-0.829855879,1.389727128,0.101633454,-0.32740869,-0.080280315,-0.188776393,-0.239249821,-0.224915308,0.112899693,-0.191205311,-0.160655296,0.61047759
QB_NZ_F_107_300,0.411593932,-0.312041364,-0.37024713,0.787745136,-0.184314145,0.499661261,-0.417835537,-0.195886647,-0.321975099,-0.370293573,-0.396714716,0.6018959,-0.606999961,0,0,-0.260468789,-0.521556853,-0.802677201,0.220268519,0.34760711,-0.057919749
QB_NZ_F_107_360,-0.641112528,-0.874631664,0.296698038,-0.271875562,0.156145379,-0.138117747,0.066107854,0.290773789,0.100180385,-0.112100929,0.213000324,0,0,0,0,0.110863146,-0.020122293,-0.640260099,0.1103892,-0.156546465,0.08069235
QB_NZ_F_121_60,0.31918797,-0.127583634,0.829554268,-0.175274446,-0.56507982,0.096311728,-0.169055198,-0.500187276,0.38817531,0.349394427,-0.245659351,0.258454465,0.065256996,-0.080734314,-0.100719013,-1.619609274,0.624125213,-0.391950182,-0.126310729,-0.700716659,-0.1374461
QB_NZ_F_121_120,0.475280689,0.737728498,-0.593245212,-0.305559961,-0.222595232,0.091255994,-0.342337802,-0.143359792,-0.175372991,0.256165621,-1.043384688,0.065182064,0.331654225,0.203713328,0.281341776,-0.490098258,0.505541976,-0.281929078,-0.120879753,-0.200373833,0.118559092
QB_NZ_F_121_180,0.212925513,-0.075942639,0.160622851,0.506003891,-0.977483408,-0.198690337,-0.115904802,0.088561882,0.694015264,-1.027979518,0.265463411,0.025011722,-0.292107659,0.053509953,-0.358223956,-0.106765778,-0.764787177,1.141468951,-0.410565597,-0.411688726,0.516684815
QB_NZ_F_121_240,0.480766366,0.9619401,-1.199643822,0.217998733,-0.040440438,-0.757348916,0.694033358,0.21889134,-0.348762221,-0.105240496,0.545390461,0,0,0.269427305,-0.340933859,0.56073139,-0.679412938,-0.299119876,0.403878201,0.060822257,0.168973523
QB_NZ_F_121_300,-0.024663092,-0.339210456,0.616611838,0.506855033,-0.086334382,0.214615898,-0.353665609,0.222857889,-0.315505234,-0.274409317,-0.109033589,-0.040170342,0.446473496,0.076603721,0.32552385,-0.193439103,0.557723027,0.338904293,0.074878573,0.118865833,0.117570574
QB_NZ_F_121_360,0.006271747,-0.050628426,-0.566155713,0.294601508,-0.909737033,-0.11906253,0.141064024,-1.053237495,-0.196981892,0.460706104,0.118690849,0.229653087,0.112134648,-0.357671788,-0.486808563,-0.020092453,0.040339328,0.254423802,-0.274757415,0.08777106,0.218540652
QB_NZ_F_121_420,0.058119152,0.056414532,-0.131248047,-0.230446684,0.215912766,0,0,0.384164203,0.797619584,-0.159066939,-0.054183018,0.156133782,0.204650895,0.162642092,-0.22963935,-0.08155172,0.718969669,-0.13752638,0.109632768,0.251239147,0.452720323
QB_NZ_F_121_480,-0.414026892,0.121508223,0.336441073,-0.021384942,0.103002141,-0.375388231,-0.054217508,0.540693598,-0.256337141,0.315118392,0.537824865,0,0,0,0,0.77769611,-0.63820801,-0.71376191,-0.552115483,0.786649967,0.641012016
QB_NZ_F_121_540,0.082664865,0.160564438,-0.148323918,-0.337477784,0.487128695,0.150408079,-0.484263725,0.344498716,0.665006054,0.725224624,-0.710498466,0,0,-0.205121485,0.517024267,0.330540545,0.217411824,-0.144402699,-0.04164424,0.107982663,-0.513104065
QB_NZ_F_121_600,0.169997815,-0.198619211,-0.277998371,0.072772637,-0.485746116,-0.691624377,-0.15858929,0.335054552,-0.687548349,0.208490771,0.064218559,0,0,0.236570316,0.593234987,-0.194424027,-0.19621846,0.74264245,1.457784823,0.307507454,0.157111304
QB_NZ_F_121_660,-0.108850528,-0.055691269,0.535817673,0.177645485,0.201264012,-0.224095399,0.27993226,-0.298176616,-0.129639084,0.556055803,0.655091602,-0.915580625,-0.606724852,-0.339365751,0.416640984,0.136313503,0.488941429,0.165031656,-0.405972234,-0.727602979,-0.83140694
QB_NZ_F_121_720,-0.4529894,-0.265108851,0.118766845,-0.394078724,0.398182775,0.819281655,0.255655457,-0.044600824,-0.451330498,-0.433325482,0.587001238,0.212978606,-0.163968527,0,0,0.328570697,-0.44107652,0.391950182,-0.187483517,-0.053451032,-0.997601569
QB_NZ_F_121_780,-0.756477197,-0.125305355,0.341302953,-0.378545383,0.781848469,1.069034902,0.214038082,0.083300134,-0.049271732,-0.863937026,-0.767240436,0,0,-0.394283861,-0.416976714,-0.124100443,0.679460368,-0.680755579,0.291374581,0.227054324,0.002944522
QB_NZ_F_131_60,1.193688963,-0.476663433,0.008194133,-0.441833057,-0.630036153,-0.776149349,-0.02355352,-0.82948875,0.426937585,0,0,-0.046285029,0.189822068,0,0,0.547881384,0.048380874,-0.368791847,-0.629729581,0.097872069,-0.080278662
QB_NZ_F_131_120,0.855186782,-0.476663433,0.139496387,-0.648972217,-0.137767454,0.045167836,-0.306278496,-0.736802491,-0.131533463,-0.133735004,-0.141065781,-0.1350877,0.009086279,-0.63873851,-0.079909461,-0.227609963,-0.678970323,-0.185973614,0.653265513,0,0
QB_NZ_F_131_180,0.365318017,-0.678121185,-0.149535273,-0.761054365,-0.082914656,-0.073128878,-0.470132664,-1.195404158,0.114650063,0.479837995,0.230451213,-0.61610217,0.230106551,0,0,0.218388582,-0.053866579,0.213771656,0.247593879,-0.286264316,-0.528664358
QB_NZ_F_131_240,0.665442056,-0.363600408,-7.09E-05,-0.372029998,-0.05759798,-0.422181,0.363011037,0.47394284,-0.119593265,0.794496211,0.94881745,-0.556900389,0.079856317,0,0,0,0,-0.801412846,-0.746806634,0.243378276,0.052866436
QB_NZ_F_131_300,0.309795493,0.224841242,0.10062788,-0.067553553,0.099436583,-0.781065576,0.524520885,-0.957118794,-1.045668376,0.0296347,0.31782008,0.101719424,-0.284881571,0.976700322,0.51823115,-0.666326899,-0.102666499,0.37714876,-0.014884006,-0.030709468,-0.317198615
QB_NZ_F_131_360,0.972437044,-0.240258927,-0.257268121,0.266412616,0.014132602,-0.392990901,-0.490128334,-0.2188248,-0.145487185,0.811439346,-0.418343518,-1.152685585,0.24610157,0.804047476,0.224767491,0.337321527,-0.641789431,0.190308224,0.166617913,0,0
QB_NZ_F_131_420,0.306143311,-0.542616863,-0.286475974,-0.57992583,-0.011184074,-0.938077578,-0.193309858,0.024929408,-0.342832683,-0.176103364,-0.011161455,-0.455180966,0.59086548,-0.115854198,0.998809246,-0.064380564,-0.125129955,-0.472924794,0.491695342,0.757934172,-0.117480968
QB_NZ_F_131_480,0.186265397,0.287796789,0.168031829,-0.87029899,-0.152183894,0.894691874,-0.284743849,0.232354863,1.032854812,0.132503733,0.641408475,0.327358939,-0.439823413,0.014777321,-0.58338628,-0.157827878,-0.001968251,0,0,0,0
QB_NZ_F_131_540,0.504615383,0.323771388,-0.863068396,-0.680184967,-1.286863246,-0.456594589,0.122070115,-0.537580302,-0.261103739,-0.238550918,0.379301875,0.338526547,0.245349329,0,0,-0.558923168,0.36674226,0.734659852,0.025790145,0,0
QB_NZ_F_131_600,0.557525493,-1.059451931,-0.75098589,-0.438995535,0.050701134,0.265783526,-0.213884713,0.408139148,-0.428548404,-0.361267623,-0.066441139,0.116519869,0.291077661,0.398647344,0.109536159,0,0,0.256005834,-0.062618398,-0.839723976,-0.158599307
